"","plec","edukacja","wiek","waga","rok"
"198","kobieta","wyższe i policealne","45-59 lat",766.823785156382,"2009"
"199","kobieta","wyższe i policealne","60-64 lata",161.007100738519,"2009"
"200","kobieta","wyższe i policealne","65+ lat",288.267330982664,"2009"
"201","mężczyzna","podstawowe i niższe","25-34 lata",146.418492,"2011"
"202","mężczyzna","podstawowe i niższe","35-44 lata",168.22413,"2011"
"203","mężczyzna","podstawowe i niższe","45-59 lat",392.53921,"2011"
"204","mężczyzna","podstawowe i niższe","60-64 lata",161.261457,"2011"
"205","mężczyzna","podstawowe i niższe","65+ lat",575.8299,"2011"
"206","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",652.859486,"2011"
"207","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",827.133175,"2011"
"208","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",1578.799682,"2011"
"209","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",322.38945,"2011"
"210","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",392.08042,"2011"
"211","mężczyzna","średnie","25-34 lata",870.083506,"2011"
"212","mężczyzna","średnie","35-44 lata",617.996345,"2011"
"213","mężczyzna","średnie","45-59 lat",928.127691,"2011"
"214","mężczyzna","średnie","60-64 lata",204.112634,"2011"
"215","mężczyzna","średnie","65+ lat",383.17008,"2011"
"216","mężczyzna","wyższe i policealne","25-34 lata",981.20334,"2011"
"217","mężczyzna","wyższe i policealne","35-44 lata",465.598039,"2011"
"218","mężczyzna","wyższe i policealne","45-59 lat",435.815534,"2011"
"219","mężczyzna","wyższe i policealne","60-64 lata",111.622268,"2011"
"220","mężczyzna","wyższe i policealne","65+ lat",237.297472,"2011"
"221","kobieta","podstawowe i niższe","25-34 lata",84.999863,"2011"
"222","kobieta","podstawowe i niższe","35-44 lata",171.262491,"2011"
"223","kobieta","podstawowe i niższe","45-59 lat",490.768656,"2011"
"224","kobieta","podstawowe i niższe","60-64 lata",240.49958,"2011"
"225","kobieta","podstawowe i niższe","65+ lat",1421.396299,"2011"
